molregno,pchembl_value,canonical_smiles,standard_inchi_key,accession
37196,6.61,COCc1nc(N2CCN(CCc3ccc(F)c(F)c3)CC2)c2c(n1)c1c(Cl)nccc1n2C,LVDUAUUVOUUFCK-UHFFFAOYSA-N,P33527
36935,5.5,COc1ccc2c(c1)[nH]c1c(N3CCN(CCc4ccc(F)c(F)c4)CC3)ncnc12,YWGVRSZHUVTQKE-UHFFFAOYSA-N,P33527
37628,6.21,O=[N+]([O-])c1cccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2Cc1cccnc1,UPNGEDJHCUNSGY-UHFFFAOYSA-N,P33527
37350,6.26,Fc1ccc(CCN2CCN(c3ncnc4c5cnccc5n(Cc5ccccc5)c34)CC2)cc1F,HQAXHHVZNNOKSS-UHFFFAOYSA-N,P33527
37049,6.56,N#Cc1cccc2nc3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)[nH]cnc-3c12,KSLIYXLLGYPJIR-UHFFFAOYSA-N,P33527
37083,6.63,O=S(=O)(c1ccc2nc3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)[nH]cnc-3c2c1)N1CCCC1,LKJBDWAXWZHOCI-UHFFFAOYSA-N,P33527
37063,6.45,Cn1c2nccc(C#N)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,IMOXPKLBVPNSID-UHFFFAOYSA-N,P33527
37147,7.01,Cn1c2nccc(C(N)=O)c2c2nc(CN3CCOCC3)nc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,GMAXIWRMMJVMOT-UHFFFAOYSA-N,P33527
37093,6.74,O=[N+]([O-])c1cccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c12,FOTDWYFVTJDSLW-UHFFFAOYSA-N,P33527
36897,5.46,COc1ccc2c3nc[nH]c(N4CCN(CCc5ccc(F)c(F)c5)CC4)c-3nc2c1[N+](=O)[O-],WSLYVCYLWXBOKX-UHFFFAOYSA-N,P33527
36892,7.11,COc1ccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c2c1[N+](=O)[O-],FJCDFWMUVBMOQJ-UHFFFAOYSA-N,P33527
36834,6.65,Cc1cc(C(N)=O)c2c3ncnc(N4CCN(CCc5ccc(F)c(F)c5)CC4)c3n(C)c2n1,KFCQYUZRWULLQM-UHFFFAOYSA-N,P33527
37702,5.46,NC(=O)c1ccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c2c1,PWCYDIFASUTCSI-UHFFFAOYSA-N,P33527
37137,6.19,O=C(Nc1ccncc1)c1cccc2nc3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)[nH]cnc-3c12,LOMAQVXHXWZILY-UHFFFAOYSA-N,P33527
37177,7.36,Cn1c2ccncc2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,NWGCADAPGOPMCR-UHFFFAOYSA-N,P33527
37136,5.72,Nc1cccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c12,AUDMYQPWPLNCSU-UHFFFAOYSA-N,P33527
38517,6.65,O=[N+]([O-])c1cccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2CCc1ccccc1,VIMSJHBPSQABPQ-UHFFFAOYSA-N,P33527
35259,5.2,N#Cc1c2n(c3c(NCCc4ccccc4)ncnc13)CCCC2,DVCJSKQKVMMANY-UHFFFAOYSA-N,P33527
36149,6.28,N#Cc1c2n(c3c(N4CCN(CCc5ccc([N+](=O)[O-])cc5)CC4)ncnc13)CCCC2,NWDZIFVRECEPHK-UHFFFAOYSA-N,P33527
35848,6.19,Cc1nc(-c2c3n(c4c(N5CCN(CCc6ccccc6)CC5)ncnc24)CCCC3)no1,TVIMLLXCVONVMK-UHFFFAOYSA-N,P33527
