,SMILES_raw,status_influx,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
75,Cc1nc(C(F)(F)F)ccc1COc1cc(Cl)c2cc(CC(=O)O)sc2c1Cl,Substrate,Cc1nc(C(F)(F)F)ccc1COc1cc(Cl)c2cc(CC(=O)O)sc2c1Cl,RWBDAOBCFDZDSF-UHFFFAOYSA-N,RWBDAOBCFDZDSF
76,O=C(O)c1ccc2oc(SCc3ccc(Cl)cc3Cl)nc2c1,Substrate,O=C(O)c1ccc2oc(SCc3ccc(Cl)cc3Cl)nc2c1,XJWRLMFEUPVROI-UHFFFAOYSA-N,XJWRLMFEUPVROI
77,Cc1nc2ncnn2c(N)c1Cc1ccc(Br)c(OC(F)F)n1,Substrate,Cc1nc2ncnn2c(N)c1Cc1ccc(Br)c(OC(F)F)n1,AZHBLVQIWNQJLF-UHFFFAOYSA-N,AZHBLVQIWNQJLF
78,Cc1nc2nonc2c(N)c1CN1CCC(OC(F)(F)F)CC1,Substrate,Cc1nc2nonc2c(N)c1CN1CCC(OC(F)(F)F)CC1,WGCQGXYLXMBLPP-UHFFFAOYSA-N,WGCQGXYLXMBLPP
79,Cc1nc2nonc2c(N)c1Cn1ccc(-c2cccc(C(F)(F)F)n2)n1,Substrate,Cc1nc2nonc2c(N)c1Cn1ccc(-c2cccc(C(F)(F)F)n2)n1,PEMOKRBTCSJWJN-UHFFFAOYSA-N,PEMOKRBTCSJWJN
80,COc1cc(C(F)(F)F)ccc1Cc1c(C)nc2nonc2c1N,Substrate,COc1cc(C(F)(F)F)ccc1Cc1c(C)nc2nonc2c1N,QZAGZJOGIKVNCE-UHFFFAOYSA-N,QZAGZJOGIKVNCE
81,Cc1nc2nonc2c(N)c1Cc1ccc(C#N)c(NC2CC2)n1,Substrate,Cc1nc2nonc2c(N)c1Cc1ccc(C#N)c(NC2CC2)n1,FFSUJBAEJTXBRA-UHFFFAOYSA-N,FFSUJBAEJTXBRA
82,C[C@@]12CCC[C@H]1[C@@H]1CC[C@H]3CC(=O)C(Br)=C[C@]3(C)[C@H]1CC2,Non-substrate,C[C@@]12CCC[C@H]1[C@@H]1CC[C@H]3CC(=O)C(Br)=C[C@]3(C)[C@H]1CC2,FBRNKWMVKROLNN-VRBUCKFRSA-N,FBRNKWMVKROLNN
83,C[C@@]12CCC[C@H]1[C@@H]1CC[C@H]3CC(=O)C(C#N)=C[C@]3(C)[C@H]1CC2,Substrate,C[C@@]12CCC[C@H]1[C@@H]1CC[C@H]3CC(=O)C(C#N)=C[C@]3(C)[C@H]1CC2,IWDCXOKCJYHVAW-BGZMIMFDSA-N,IWDCXOKCJYHVAW
84,Cc1[nH]cnc1CSCCNc1ncccn1,Substrate,Cc1[nH]cnc1CSCCNc1ncccn1,MNGRAPYYTJTLKV-UHFFFAOYSA-N,MNGRAPYYTJTLKV
85,CNC(=O)COc1ccc(C2=C(C#N)C3N=C4C=CC=CC4N3C(NC(=O)c3cccc(C[C@H](N)C(=O)O)c3)=C2C#N)cc1,Non-substrate,CNC(=O)COc1ccc(C2=C(C#N)C(=NC(=O)c3cccc(CC(N)C(=O)O)c3)N3C4C=CC=CC4=NC3C2C#N)cc1,FMDSXLFDERBOEZ-UHFFFAOYSA-N,FMDSXLFDERBOEZ
86,C[C@](N)(Cc1ccc(O)c(F)c1)C(=O)O,Substrate,C[C@](N)(Cc1ccc(O)c(F)c1)C(=O)O,STUMEFJLAPRRME-JTQLQIEISA-N,STUMEFJLAPRRME
87,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,Substrate,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,SGUAFYQXFOLMHL-UHFFFAOYSA-N,SGUAFYQXFOLMHL
88,C=C[C@H]1C[N@+]2(C)CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,Substrate,C=C[C@H]1C[N@+]2(C)CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,SJTSZVLGFLZBFK-UIHPHKDJSA-N,SJTSZVLGFLZBFK
